study_id,hypothesis_id,seed,series,x,value
3,H19,3001,Q51,0,0.003
3,H19,3001,Q2F1,0,0.0012
3,H19,3001,Q51,1,0.0128
3,H19,3001,Q2F1,1,0.003
3,H19,3001,Q51,2,0.0456
3,H19,3001,Q2F1,2,0.0076
3,H19,3003,Q51,0,0.004
3,H19,3003,Q2F1,0,0.0012
3,H19,3003,Q51,1,0.0136
3,H19,3003,Q2F1,1,0.0028
3,H19,3003,Q51,2,0.0462
3,H19,3003,Q2F1,2,0.0088
3,H19,3005,Q51,0,0.006
3,H19,3005,Q2F1,0,0.0016
3,H19,3005,Q51,1,0.0138
3,H19,3005,Q2F1,1,0.0026
3,H19,3005,Q51,2,0.047
3,H19,3005,Q2F1,2,0.0074
3,H19,3007,Q51,0,0.0038
3,H19,3007,Q2F1,0,0.001
3,H19,3007,Q51,1,0.0112
3,H19,3007,Q2F1,1,0.0024
3,H19,3007,Q51,2,0.0528
3,H19,3007,Q2F1,2,0.0082
3,H19,3009,Q51,0,0.004
3,H19,3009,Q2F1,0,0.0012
3,H19,3009,Q51,1,0.0124
3,H19,3009,Q2F1,1,0.0018
3,H19,3009,Q51,2,0.0496
3,H19,3009,Q2F1,2,0.0074
3,H19,3011,Q51,0,0.0048
3,H19,3011,Q2F1,0,0.0014
3,H19,3011,Q51,1,0.0144
3,H19,3011,Q2F1,1,0.003
3,H19,3011,Q51,2,0.0474
3,H19,3011,Q2F1,2,0.0086
3,H19,3013,Q51,0,0.0048
3,H19,3013,Q2F1,0,0.0014
3,H19,3013,Q51,1,0.012
3,H19,3013,Q2F1,1,0.0022
3,H19,3013,Q51,2,0.0496
3,H19,3013,Q2F1,2,0.0076
3,H19,3015,Q51,0,0.0044
3,H19,3015,Q2F1,0,0.0014
3,H19,3015,Q51,1,0.0152
3,H19,3015,Q2F1,1,0.0034
3,H19,3015,Q51,2,0.0504
3,H19,3015,Q2F1,2,0.0072
3,H19,3017,Q51,0,0.0026
3,H19,3017,Q2F1,0,0.001
3,H19,3017,Q51,1,0.014
3,H19,3017,Q2F1,1,0.0034
3,H19,3017,Q51,2,0.0536
3,H19,3017,Q2F1,2,0.0082
3,H19,3019,Q51,0,0.0044
3,H19,3019,Q2F1,0,0.0014
3,H19,3019,Q51,1,0.012
3,H19,3019,Q2F1,1,0.0022
3,H19,3019,Q51,2,0.0468
3,H19,3019,Q2F1,2,0.0058
3,H19,3021,Q51,0,0.0044
3,H19,3021,Q2F1,0,0.0016
3,H19,3021,Q51,1,0.0108
3,H19,3021,Q2F1,1,0.0022
3,H19,3021,Q51,2,0.0512
3,H19,3021,Q2F1,2,0.0084
3,H19,3023,Q51,0,0.0042
3,H19,3023,Q2F1,0,0.001
3,H19,3023,Q51,1,0.012
3,H19,3023,Q2F1,1,0.002
3,H19,3023,Q51,2,0.0474
3,H19,3023,Q2F1,2,0.0052
3,H19,3025,Q51,0,0.0024
3,H19,3025,Q2F1,0,0.0008
3,H19,3025,Q51,1,0.0128
3,H19,3025,Q2F1,1,0.003
3,H19,3025,Q51,2,0.0468
3,H19,3025,Q2F1,2,0.0076
3,H19,3027,Q51,0,0.0042
3,H19,3027,Q2F1,0,0.0014
3,H19,3027,Q51,1,0.0152
3,H19,3027,Q2F1,1,0.0038
3,H19,3027,Q51,2,0.0476
3,H19,3027,Q2F1,2,0.0082
3,H19,3029,Q51,0,0.0038
3,H19,3029,Q2F1,0,0.0008
3,H19,3029,Q51,1,0.0104
3,H19,3029,Q2F1,1,0.0016
3,H19,3029,Q51,2,0.0522
3,H19,3029,Q2F1,2,0.0066
3,H19,3031,Q51,0,0.004
3,H19,3031,Q2F1,0,0.0016
3,H19,3031,Q51,1,0.0128
3,H19,3031,Q2F1,1,0.0024
3,H19,3031,Q51,2,0.0518
3,H19,3031,Q2F1,2,0.0064
3,H19,3033,Q51,0,0.0042
3,H19,3033,Q2F1,0,0.002
3,H19,3033,Q51,1,0.012
