study_id,hypothesis_id,seed,series,x,value
3,H22,3000,5|2_block_advance,5,2.0
3,H22,3000,5|2_recovery_s,5,54.77302956581116
3,H22,3000,5|2_operator_restart_required,5,0.0
3,H22,3000,conflict,5,0.0
3,H22,3000,5|2_block_advance,15,3.0
3,H22,3000,5|2_recovery_s,15,23.01015520095825
3,H22,3000,5|2_operator_restart_required,15,0.0
3,H22,3000,conflict,15,0.0
3,H22,3000,5|2_block_advance,30,8.0
3,H22,3000,5|2_recovery_s,30,30.7456123828888
3,H22,3000,5|2_operator_restart_required,30,0.0
3,H22,3000,conflict,30,0.0
3,H22,3000,5|2_block_advance,60,15.0
3,H22,3000,5|2_recovery_s,60,28.161776065826416
3,H22,3000,5|2_operator_restart_required,60,0.0
3,H22,3000,conflict,60,0.0
3,H22,3000,4|3_block_advance,5,1.0
3,H22,3000,4|3_recovery_s,5,64.88846564292908
3,H22,3000,4|3_operator_restart_required,5,1.0
3,H22,3000,conflict,5,0.0
3,H22,3000,4|3_block_advance,15,2.0
3,H22,3000,4|3_recovery_s,15,64.19373321533203
3,H22,3000,4|3_operator_restart_required,15,1.0
3,H22,3000,conflict,15,0.0
3,H22,3000,4|3_block_advance,30,1.0
3,H22,3000,4|3_recovery_s,30,60.76740384101868
3,H22,3000,4|3_operator_restart_required,30,1.0
3,H22,3000,conflict,30,0.0
3,H22,3000,4|3_block_advance,60,1.0
3,H22,3000,4|3_recovery_s,60,63.344115257263184
3,H22,3000,4|3_operator_restart_required,60,1.0
3,H22,3000,conflict,60,0.0
3,H22,3001,5|2_block_advance,5,2.0
3,H22,3001,5|2_recovery_s,5,21.23467206954956
3,H22,3001,5|2_operator_restart_required,5,0.0
3,H22,3001,conflict,5,0.0
3,H22,3001,5|2_block_advance,15,3.0
3,H22,3001,5|2_recovery_s,15,21.21973443031311
3,H22,3001,5|2_operator_restart_required,15,0.0
3,H22,3001,conflict,15,0.0
3,H22,3001,5|2_block_advance,30,8.0
3,H22,3001,5|2_recovery_s,30,19.67913317680359
3,H22,3001,5|2_operator_restart_required,30,0.0
3,H22,3001,conflict,30,0.0
3,H22,3001,5|2_block_advance,60,15.0
3,H22,3001,5|2_recovery_s,60,57.04378414154053
3,H22,3001,5|2_operator_restart_required,60,0.0
3,H22,3001,conflict,60,0.0
3,H22,3001,4|3_block_advance,5,0.0
3,H22,3001,4|3_recovery_s,5,85.49657082557678
3,H22,3001,4|3_operator_restart_required,5,1.0
3,H22,3001,conflict,5,0.0
3,H22,3001,4|3_block_advance,15,2.0
3,H22,3001,4|3_recovery_s,15,61.52895998954773
3,H22,3001,4|3_operator_restart_required,15,1.0
3,H22,3001,conflict,15,0.0
3,H22,3001,4|3_block_advance,30,1.0
3,H22,3001,4|3_recovery_s,30,84.37813544273376
3,H22,3001,4|3_operator_restart_required,30,1.0
3,H22,3001,conflict,30,0.0
3,H22,3001,4|3_block_advance,60,4.0
3,H22,3001,4|3_recovery_s,60,83.323477268219
3,H22,3001,4|3_operator_restart_required,60,1.0
3,H22,3001,conflict,60,0.0
3,H22,3002,5|2_block_advance,5,3.0
3,H22,3002,5|2_recovery_s,5,30.29176521301269
3,H22,3002,5|2_operator_restart_required,5,0.0
3,H22,3002,conflict,5,0.0
3,H22,3002,5|2_block_advance,15,5.0
3,H22,3002,5|2_recovery_s,15,29.610453128814697
3,H22,3002,5|2_operator_restart_required,15,0.0
3,H22,3002,conflict,15,0.0
3,H22,3002,5|2_block_advance,30,7.0
3,H22,3002,5|2_recovery_s,30,29.93804407119751
3,H22,3002,5|2_operator_restart_required,30,0.0
3,H22,3002,conflict,30,0.0
3,H22,3002,5|2_block_advance,60,15.0
3,H22,3002,5|2_recovery_s,60,58.47496938705444
3,H22,3002,5|2_operator_restart_required,60,0.0
3,H22,3002,conflict,60,0.0
3,H22,3002,4|3_block_advance,5,5.0
3,H22,3002,4|3_recovery_s,5,80.87460207939148
3,H22,3002,4|3_operator_restart_required,5,1.0
3,H22,3002,conflict,5,0.0
3,H22,3002,4|3_block_advance,15,3.0
3,H22,3002,4|3_recovery_s,15,56.89662909507752
3,H22,3002,4|3_operator_restart_required,15,1.0
3,H22,3002,conflict,15,0.0
3,H22,3002,4|3_block_advance,30,3.0
3,H22,3002,4|3_recovery_s,30,58.50111413002014
3,H22,3002,4|3_operator_restart_required,30,1.0
3,H22,3002,conflict,30,0.0
3,H22,3002,4|3_block_advance,60,2.0
3,H22,3002,4|3_recovery_s,60,61.15099573135376
3,H22,3002,4|3_operator_restart_required,60,1.0
3,H22,3002,conflict,60,0.0
3,H22,3003,5|2_block_advance,5,3.0
3,H22,3003,5|2_recovery_s,5,34.29923939704895
3,H22,3003,5|2_operator_restart_required,5,0.0
3,H22,3003,conflict,5,0.0
3,H22,3003,5|2_block_advance,15,6.0
3,H22,3003,5|2_recovery_s,15,53.90603709220886
3,H22,3003,5|2_operator_restart_required,15,0.0
3,H22,3003,conflict,15,0.0
3,H22,3003,5|2_block_advance,30,9.0
3,H22,3003,5|2_recovery_s,30,16.85028076171875
3,H22,3003,5|2_operator_restart_required,30,0.0
3,H22,3003,conflict,30,0.0
3,H22,3003,5|2_block_advance,60,14.0
3,H22,3003,5|2_recovery_s,60,27.21735119819641
3,H22,3003,5|2_operator_restart_required,60,0.0
3,H22,3003,conflict,60,0.0
3,H22,3003,4|3_block_advance,5,1.0
3,H22,3003,4|3_recovery_s,5,68.19419360160828
3,H22,3003,4|3_operator_restart_required,5,1.0
3,H22,3003,conflict,5,0.0
3,H22,3003,4|3_block_advance,15,2.0
3,H22,3003,4|3_recovery_s,15,71.70753598213196
3,H22,3003,4|3_operator_restart_required,15,1.0
3,H22,3003,conflict,15,0.0
3,H22,3003,4|3_block_advance,30,1.0
3,H22,3003,4|3_recovery_s,30,56.04692769050598
3,H22,3003,4|3_operator_restart_required,30,1.0
3,H22,3003,conflict,30,0.0
3,H22,3003,4|3_block_advance,60,1.0
3,H22,3003,4|3_recovery_s,60,70.30390810966492
3,H22,3003,4|3_operator_restart_required,60,1.0
3,H22,3003,conflict,60,0.0
3,H22,3004,5|2_block_advance,5,1.0
3,H22,3004,5|2_recovery_s,5,23.13595175743103
3,H22,3004,5|2_operator_restart_required,5,0.0
3,H22,3004,conflict,5,0.0
3,H22,3004,5|2_block_advance,15,6.0
3,H22,3004,5|2_recovery_s,15,17.672853469848633
3,H22,3004,5|2_operator_restart_required,15,0.0
3,H22,3004,conflict,15,0.0
3,H22,3004,5|2_block_advance,30,6.0
3,H22,3004,5|2_recovery_s,30,28.93468713760376
3,H22,3004,5|2_operator_restart_required,30,0.0
3,H22,3004,conflict,30,0.0
3,H22,3004,5|2_block_advance,60,15.0
3,H22,3004,5|2_recovery_s,60,29.61094284057617
3,H22,3004,5|2_operator_restart_required,60,0.0
3,H22,3004,conflict,60,0.0
3,H22,3004,4|3_block_advance,5,2.0
3,H22,3004,4|3_recovery_s,5,77.6371819972992
3,H22,3004,4|3_operator_restart_required,5,1.0
3,H22,3004,conflict,5,0.0
3,H22,3004,4|3_block_advance,15,1.0
3,H22,3004,4|3_recovery_s,15,62.75350499153137
3,H22,3004,4|3_operator_restart_required,15,1.0
3,H22,3004,conflict,15,0.0
3,H22,3004,4|3_block_advance,30,2.0
3,H22,3004,4|3_recovery_s,30,58.730801820755005
3,H22,3004,4|3_operator_restart_required,30,1.0
3,H22,3004,conflict,30,0.0
3,H22,3004,4|3_block_advance,60,1.0
3,H22,3004,4|3_recovery_s,60,84.64304614067078
3,H22,3004,4|3_operator_restart_required,60,1.0
3,H22,3004,conflict,60,0.0
3,H22,3005,5|2_block_advance,5,1.0
3,H22,3005,5|2_recovery_s,5,16.872734546661377
3,H22,3005,5|2_operator_restart_required,5,0.0
