study_id,hypothesis_id,seed,arm,primary_metric,primary_value,run_valid
3,H24,3000,governance,negative_false_safe,-0.0036,True
3,H24,3000,frozen,negative_false_safe,-0.0032,True
3,H24,3001,governance,negative_false_safe,-0.0036,True
3,H24,3001,frozen,negative_false_safe,-0.0032,True
3,H24,3002,governance,negative_false_safe,-0.0012,True
3,H24,3002,frozen,negative_false_safe,-0.0026,True
3,H24,3003,governance,negative_false_safe,-0.0028,True
3,H24,3003,frozen,negative_false_safe,-0.004,True
3,H24,3004,governance,negative_false_safe,-0.004,True
3,H24,3004,frozen,negative_false_safe,-0.0034,True
3,H24,3005,governance,negative_false_safe,-0.0008,True
3,H24,3005,frozen,negative_false_safe,-0.004,True
3,H24,3006,governance,negative_false_safe,-0.0036,True
3,H24,3006,frozen,negative_false_safe,-0.0064,True
3,H24,3007,governance,negative_false_safe,-0.0016,True
3,H24,3007,frozen,negative_false_safe,-0.0036,True
3,H24,3008,governance,negative_false_safe,-0.002,True
3,H24,3008,frozen,negative_false_safe,-0.004,True
3,H24,3009,governance,negative_false_safe,-0.0024,True
3,H24,3009,frozen,negative_false_safe,-0.0042,True
3,H24,3010,governance,negative_false_safe,-0.0036,True
3,H24,3010,frozen,negative_false_safe,-0.0038,True
3,H24,3011,governance,negative_false_safe,-0.0028,True
3,H24,3011,frozen,negative_false_safe,-0.004,True
3,H24,3012,governance,negative_false_safe,-0.0028,True
3,H24,3012,frozen,negative_false_safe,-0.0036,True
3,H24,3013,governance,negative_false_safe,-0.0032,True
3,H24,3013,frozen,negative_false_safe,-0.0036,True
3,H24,3014,governance,negative_false_safe,-0.0024,True
3,H24,3014,frozen,negative_false_safe,-0.0034,True
3,H24,3015,governance,negative_false_safe,-0.004,True
3,H24,3015,frozen,negative_false_safe,-0.0042,True
3,H24,3016,governance,negative_false_safe,-0.0024,True
3,H24,3016,frozen,negative_false_safe,-0.0038,True
3,H24,3017,governance,negative_false_safe,-0.0036,True
3,H24,3017,frozen,negative_false_safe,-0.0046,True
3,H24,3018,governance,negative_false_safe,-0.0024,True
3,H24,3018,frozen,negative_false_safe,-0.0028,True
3,H24,3019,governance,negative_false_safe,-0.004,True
3,H24,3019,frozen,negative_false_safe,-0.0046,True
3,H24,3020,governance,negative_false_safe,-0.0028,True
3,H24,3020,frozen,negative_false_safe,-0.004,True
3,H24,3021,governance,negative_false_safe,-0.004,True
3,H24,3021,frozen,negative_false_safe,-0.0036,True
3,H24,3022,governance,negative_false_safe,-0.0032,True
3,H24,3022,frozen,negative_false_safe,-0.0026,True
3,H24,3023,governance,negative_false_safe,-0.0044,True
3,H24,3023,frozen,negative_false_safe,-0.0046,True
3,H24,3024,governance,negative_false_safe,-0.0032,True
3,H24,3024,frozen,negative_false_safe,-0.0032,True
3,H24,3025,governance,negative_false_safe,-0.0028,True
3,H24,3025,frozen,negative_false_safe,-0.0028,True
3,H24,3026,governance,negative_false_safe,-0.0024,True
3,H24,3026,frozen,negative_false_safe,-0.0052,True
3,H24,3027,governance,negative_false_safe,-0.002,True
3,H24,3027,frozen,negative_false_safe,-0.004,True
3,H24,3028,governance,negative_false_safe,-0.0028,True
3,H24,3028,frozen,negative_false_safe,-0.0046,True
3,H24,3029,governance,negative_false_safe,-0.0024,True
3,H24,3029,frozen,negative_false_safe,-0.0056,True
3,H24,3030,governance,negative_false_safe,-0.0028,True
3,H24,3030,frozen,negative_false_safe,-0.0046,True
3,H24,3031,governance,negative_false_safe,-0.0028,True
3,H24,3031,frozen,negative_false_safe,-0.0034,True
3,H24,3032,governance,negative_false_safe,-0.0016,True
3,H24,3032,frozen,negative_false_safe,-0.004,True
3,H24,3033,governance,negative_false_safe,-0.0036,True
3,H24,3033,frozen,negative_false_safe,-0.0046,True
3,H24,3034,governance,negative_false_safe,-0.0028,True
3,H24,3034,frozen,negative_false_safe,-0.0028,True
3,H24,3035,governance,negative_false_safe,-0.0024,True
3,H24,3035,frozen,negative_false_safe,-0.0046,True
3,H24,3036,governance,negative_false_safe,-0.004,True
3,H24,3036,frozen,negative_false_safe,-0.0036,True
3,H24,3037,governance,negative_false_safe,-0.0008,True
3,H24,3037,frozen,negative_false_safe,-0.0038,True
3,H24,3038,governance,negative_false_safe,-0.0024,True
3,H24,3038,frozen,negative_false_safe,-0.0028,True
3,H24,3039,governance,negative_false_safe,-0.0048,True
3,H24,3039,frozen,negative_false_safe,-0.003,True
