study_id,hypothesis_id,seed,arm,primary_metric,primary_value,run_valid,state_invariant
3,H19,902000,Q2F1,negative_false_safe,-0.005,True,
3,H19,902000,Q51,negative_false_safe,-0.0575,True,
3,H19,902002,Q2F1,negative_false_safe,-0.0025,True,
3,H19,902002,Q51,negative_false_safe,-0.045,True,
3,H20,902000,heterogeneous,negative_joint_false_safe,-0.0,True,
3,H20,902000,homogeneous,negative_joint_false_safe,-0.0,True,
3,H20,902002,heterogeneous,negative_joint_false_safe,-0.0025,True,
3,H20,902002,homogeneous,negative_joint_false_safe,-0.0025,True,
3,H21,902000,blockchain,tamper_detection,1.0,True,
3,H21,902000,mutable_log,tamper_detection,0.0,True,
3,H21,902002,blockchain,tamper_detection,1.0,True,
3,H21,902002,mutable_log,tamper_detection,0.0,True,
3,H23,902000,blockchain,audit_reconstruction,1.0,True,
3,H23,902000,ordinary_log,audit_reconstruction,0.8,True,
3,H23,902002,blockchain,audit_reconstruction,1.0,True,
3,H23,902002,ordinary_log,audit_reconstruction,0.78,True,
3,H17,902000,blockchain,negative_conflicting_acceptance,-0.0,True,1.0
3,H17,902000,mutable_store,negative_conflicting_acceptance,-1.0,True,0.0
3,H17,902002,blockchain,negative_conflicting_acceptance,-0.0,True,1.0
3,H17,902002,mutable_store,negative_conflicting_acceptance,-1.0,True,0.0
3,H18,902000,unavailable_2,throughput_tps,0.0,True,
3,H18,902000,unavailable_3,throughput_tps,0.0,True,
3,H18,902002,unavailable_2,throughput_tps,2.0,True,
3,H18,902002,unavailable_3,throughput_tps,0.0,True,
3,H22,902000,QBFT,negative_conflicting_finality,-0.0,True,
3,H22,902002,QBFT,negative_conflicting_finality,-0.0,True,
3,H24,902000,governance,negative_false_safe,-0.005,True,
3,H24,902000,frozen,negative_false_safe,-0.0,True,
3,H24,902002,governance,negative_false_safe,-0.0,True,
3,H24,902002,frozen,negative_false_safe,-0.0025,True,
