study_id,hypothesis_id,seed,series,x,value
3,H19,902001,Q51,0,0.0
3,H19,902001,Q2F1,0,0.0
3,H19,902001,Q51,1,0.01
3,H19,902001,Q2F1,1,0.0025
3,H19,902001,Q51,2,0.0525
3,H19,902001,Q2F1,2,0.01
3,H19,902003,Q51,0,0.005
3,H19,902003,Q2F1,0,0.0
3,H19,902003,Q51,1,0.01
3,H19,902003,Q2F1,1,0.0025
3,H19,902003,Q51,2,0.04
3,H19,902003,Q2F1,2,0.0075
3,H20,902001,homogeneous,mean_error_corr,-0.0109286325648309
3,H20,902001,heterogeneous,mean_error_corr,-0.0048876002075992
3,H20,902003,homogeneous,mean_error_corr,0.0046838650528658
3,H20,902003,heterogeneous,mean_error_corr,-0.0024636767174436
3,H18,902001,tps,0,1.0
3,H18,902001,p95_ms,0,5610.648727416992
3,H18,902001,tps,1,0.0
3,H18,902001,p95_ms,1,999999.0
3,H18,902001,recovery_s,1,131.47009778022766
3,H18,902001,operator_restart_required,1,0.0
3,H18,902001,tps,2,0.0
3,H18,902001,p95_ms,2,999999.0
3,H18,902001,recovery_s,2,205.5636260509491
3,H18,902001,operator_restart_required,2,1.0
3,H18,902001,tps,3,0.0
3,H18,902001,p95_ms,3,999999.0
3,H18,902001,recovery_s,3,327.6401650905609
3,H18,902001,operator_restart_required,3,1.0
3,H18,902003,tps,0,0.0
3,H18,902003,p95_ms,0,999999.0
3,H18,902003,tps,1,0.0
3,H18,902003,p95_ms,1,999999.0
3,H18,902003,recovery_s,1,27.00784420967102
3,H18,902003,operator_restart_required,1,0.0
3,H18,902003,tps,2,0.0
3,H18,902003,p95_ms,2,999999.0
3,H18,902003,recovery_s,2,117.64140105247498
3,H18,902003,operator_restart_required,2,0.0
3,H18,902003,tps,3,0.0
3,H18,902003,p95_ms,3,999999.0
3,H18,902003,recovery_s,3,158.3715000152588
3,H18,902003,operator_restart_required,3,0.0
3,H22,902001,5|2_block_advance,2,10.0
3,H22,902001,5|2_recovery_s,2,82.78143095970154
3,H22,902001,5|2_operator_restart_required,2,0.0
3,H22,902001,conflict,2,0.0
3,H22,902001,5|2_block_advance,4,5.0
3,H22,902001,5|2_recovery_s,4,108.6019446849823
3,H22,902001,5|2_operator_restart_required,4,0.0
3,H22,902001,conflict,4,0.0
3,H22,902001,4|3_block_advance,2,6.0
3,H22,902001,4|3_recovery_s,2,292.530859708786
3,H22,902001,4|3_operator_restart_required,2,1.0
3,H22,902001,conflict,2,0.0
3,H22,902001,4|3_block_advance,4,7.0
3,H22,902001,4|3_recovery_s,4,230.7621717453003
3,H22,902001,4|3_operator_restart_required,4,1.0
3,H22,902001,conflict,4,0.0
3,H22,902003,5|2_block_advance,2,6.0
3,H22,902003,5|2_recovery_s,2,111.71995806694032
3,H22,902003,5|2_operator_restart_required,2,0.0
3,H22,902003,conflict,2,0.0
3,H22,902003,5|2_block_advance,4,3.0
3,H22,902003,5|2_recovery_s,4,48.22421360015869
3,H22,902003,5|2_operator_restart_required,4,0.0
3,H22,902003,conflict,4,0.0
3,H22,902003,4|3_block_advance,2,3.0
3,H22,902003,4|3_recovery_s,2,265.1521849632263
3,H22,902003,4|3_operator_restart_required,2,1.0
3,H22,902003,conflict,2,0.0
3,H22,902003,4|3_block_advance,4,7.0
3,H22,902003,4|3_recovery_s,4,273.0121190547943
3,H22,902003,4|3_operator_restart_required,4,1.0
3,H22,902003,conflict,4,0.0
3,H24,902001,rolling_false_safe,0,0.0
3,H24,902001,rolling_false_safe,50,0.0
3,H24,902001,rolling_false_safe,100,0.0
3,H24,902001,rolling_false_safe,150,0.0
3,H24,902001,rolling_false_safe,200,0.005
3,H24,902001,rolling_false_safe,250,0.005
3,H24,902001,rolling_false_safe,300,0.005
3,H24,902001,rolling_false_safe,350,0.005
3,H24,902001,onchain_governance_recorded,24,1.0
3,H24,902003,rolling_false_safe,0,0.0
3,H24,902003,rolling_false_safe,50,0.0
3,H24,902003,rolling_false_safe,100,0.0
3,H24,902003,rolling_false_safe,150,0.0
3,H24,902003,rolling_false_safe,200,0.0
3,H24,902003,rolling_false_safe,250,0.0
3,H24,902003,rolling_false_safe,300,0.0
3,H24,902003,rolling_false_safe,350,0.0
3,H24,902003,onchain_governance_recorded,23,1.0
